state,specialty_clean,payment_type_clean,payment_amount
FL,Podiatrist,Other,11481.6
FL,Podiatrist,Royalty / License,10804.42
FL,Podiatrist,Travel & Lodging,56104.08
FL,Preventive Medicine/Occupational Environmental Medicine,Food & Beverage,133.07999999999998
FL,Primary Care,Consulting,4970.0
FL,Primary Care,Education,1557.86
FL,Primary Care,Food & Beverage,123823.23
FL,Primary Care,Honoraria,4950.0
FL,Primary Care,Non-consulting professional services,75658.1
FL,Primary Care,Travel & Lodging,34076.28
FL,Primary Podiatric Medicine,Consulting,79219.0
FL,Primary Podiatric Medicine,Education,5225.0
FL,Primary Podiatric Medicine,Food & Beverage,10585.14
FL,Primary Podiatric Medicine,Non-consulting professional services,2375.0
FL,Primary Podiatric Medicine,Travel & Lodging,9667.6
FL,Procedural Dermatology,Consulting,3600.0
FL,Procedural Dermatology,Education,924.74
FL,Procedural Dermatology,Food & Beverage,26081.25
FL,Procedural Dermatology,Non-consulting professional services,108239.69
FL,Procedural Dermatology,Travel & Lodging,7063.17
FL,Prosthodontics,Consulting,48841.48
FL,Prosthodontics,Device / Supply Loan,403.0
FL,Prosthodontics,Education,3970.54
FL,Prosthodontics,Entertainment,2303.99
FL,Prosthodontics,Food & Beverage,17281.16
FL,Prosthodontics,Honoraria,81886.34
FL,Prosthodontics,Non-consulting professional services,5206.23
FL,Prosthodontics,Other,6380.97
FL,Prosthodontics,Royalty / License,2800.0
FL,Prosthodontics,Travel & Lodging,22034.72
FL,Psychiatric/Mental Health,Consulting,42156.67
FL,Psychiatric/Mental Health,Education,8116.65
FL,Psychiatric/Mental Health,Food & Beverage,807413.71
FL,Psychiatric/Mental Health,Non-consulting professional services,586491.5
FL,Psychiatric/Mental Health,Travel & Lodging,168933.39
FL,"Psychiatric/Mental Health, Adult",Education,48.84
FL,"Psychiatric/Mental Health, Adult",Food & Beverage,4894.87
FL,"Psychiatric/Mental Health, Child & Adolescent",Food & Beverage,1929.69
FL,"Psychiatric/Mental Health, Child & Family",Food & Beverage,133.1
FL,"Psychiatric/Mental Health, Community",Food & Beverage,909.95
FL,"Psychiatric/Mental Health, Geropsychiatric",Food & Beverage,13.16
FL,Psychiatry,Consulting,669427.75
FL,Psychiatry,Education,3704.2599999999998
FL,Psychiatry,Food & Beverage,658884.34
FL,Psychiatry,Honoraria,59625.0
FL,Psychiatry,Non-consulting professional services,3195127.34
FL,Psychiatry,Other,78685.97
FL,Psychiatry,Royalty / License,3975.0
FL,Psychiatry,Travel & Lodging,491006.34
FL,Psychosomatic Medicine,Food & Beverage,1551.22
FL,Psychosomatic Medicine,Travel & Lodging,2555.71
FL,Public Health & General Preventive Medicine,Consulting,49950.0
FL,Public Health & General Preventive Medicine,Food & Beverage,928.74
FL,Pulmonary Disease,Consulting,295430.92
FL,Pulmonary Disease,Device / Supply Loan,1020.83
FL,Pulmonary Disease,Education,391708.93
FL,Pulmonary Disease,Food & Beverage,496578.22
FL,Pulmonary Disease,Grant,790.07
FL,Pulmonary Disease,Honoraria,10211.0
FL,Pulmonary Disease,Non-consulting professional services,1180471.93
FL,Pulmonary Disease,Other,1698.59
FL,Pulmonary Disease,Travel & Lodging,233317.08
FL,Radiation Oncology,Acquisitions,2571.88
FL,Radiation Oncology,Consulting,205907.9
FL,Radiation Oncology,Education,2018.29
FL,Radiation Oncology,Food & Beverage,105285.35
FL,Radiation Oncology,Honoraria,59404.81
FL,Radiation Oncology,Non-consulting professional services,206259.01
FL,Radiation Oncology,Other,30.0
FL,Radiation Oncology,Travel & Lodging,42439.3
FL,Radiological Physics,Food & Beverage,673.5
FL,Radiological Physics,Honoraria,1500.0
FL,Registered Nurse,Consulting,3600.0
FL,Registered Nurse,Education,109.56
FL,Registered Nurse,Food & Beverage,10844.12
FL,Registered Nurse,Travel & Lodging,3185.5599999999995
FL,Registered Nurse First Assistant,Food & Beverage,431.55
FL,Rehabilitation,Food & Beverage,61.12
FL,Reproductive Endocrinology,Education,49.86
FL,Reproductive Endocrinology,Food & Beverage,9717.71
FL,Retina Specialist,Acquisitions,1662.9
FL,Retina Specialist,Consulting,31118.5
FL,Retina Specialist,Education,192.79000000000002
FL,Retina Specialist,Food & Beverage,51305.92
FL,Retina Specialist,Honoraria,38988.02
FL,Retina Specialist,Non-consulting professional services,182627.5
FL,Retina Specialist,Travel & Lodging,26300.52
FL,Rheumatology,Consulting,164538.15
FL,Rheumatology,Education,9125.36
FL,Rheumatology,Food & Beverage,572207.44
FL,Rheumatology,Grant,61680.0
FL,Rheumatology,Honoraria,229248.57
FL,Rheumatology,Non-consulting professional services,1448341.54
FL,Rheumatology,Travel & Lodging,257126.21
FL,School,Food & Beverage,1497.6299999999999
FL,Sleep Medicine,Consulting,52120.83
FL,Sleep Medicine,Education,3565.4900000000002
FL,Sleep Medicine,Food & Beverage,42502.86
FL,Sleep Medicine,Honoraria,13350.0
FL,Sleep Medicine,Non-consulting professional services,214118.3
FL,Sleep Medicine,Other,3000.0
FL,Sleep Medicine,Travel & Lodging,40176.17
FL,Spinal Cord Injury Medicine,Food & Beverage,1691.8799999999999
FL,Sports Medicine,Consulting,294792.28
FL,Sports Medicine,Education,13247.19
FL,Sports Medicine,Food & Beverage,119267.51
FL,Sports Medicine,Grant,27791.059999999998
FL,Sports Medicine,Honoraria,11907.5
FL,Sports Medicine,Non-consulting professional services,103235.05
FL,Sports Medicine,Royalty / License,2645592.38
FL,Sports Medicine,Travel & Lodging,127180.59
FL,Sports Vision,Food & Beverage,13.51
FL,Surgery,Consulting,813975.82
FL,Surgery,Device / Supply Loan,6131.68
FL,Surgery,Education,1870631.75
FL,Surgery,Entertainment,473.41999999999996
FL,Surgery,Food & Beverage,536223.92
FL,Surgery,Grant,47108.8
FL,Surgery,Honoraria,47238.0
FL,Surgery,Non-consulting professional services,659827.36
FL,Surgery,Other,43690.96
FL,Surgery,Royalty / License,104277.85
FL,Surgery,Travel & Lodging,588088.22
FL,Surgery of the Hand,Consulting,7360.0
FL,Surgery of the Hand,Education,530.52
FL,Surgery of the Hand,Entertainment,96.65
FL,Surgery of the Hand,Food & Beverage,25170.43
FL,Surgery of the Hand,Honoraria,3000.0
FL,Surgery of the Hand,Non-consulting professional services,6837.68
FL,Surgery of the Hand,Other,39000.0
FL,Surgery of the Hand,Royalty / License,409067.6
FL,Surgery of the Hand,Travel & Lodging,16512.81
FL,Surgical,Consulting,118656.16
FL,Surgical,Device / Supply Loan,74.62
FL,Surgical,Education,2039.14
FL,Surgical,Food & Beverage,187790.97
FL,Surgical,Honoraria,1500.0
FL,Surgical,Non-consulting professional services,392465.13
FL,Surgical,Travel & Lodging,96738.41
FL,Surgical Critical Care,Consulting,68718.71
FL,Surgical Critical Care,Education,15250.0
FL,Surgical Critical Care,Food & Beverage,16404.65
FL,Surgical Critical Care,Honoraria,9250.0
FL,Surgical Critical Care,Non-consulting professional services,13437.880000000001
FL,Surgical Critical Care,Other,32.5
FL,Surgical Critical Care,Travel & Lodging,26458.01
FL,Surgical Oncology,Consulting,44870.83
FL,Surgical Oncology,Education,38270.72
FL,Surgical Oncology,Entertainment,51.0
FL,Surgical Oncology,Food & Beverage,29556.57
FL,Surgical Oncology,Honoraria,4525.0
FL,Surgical Oncology,Non-consulting professional services,25030.28
FL,Surgical Oncology,Other,68.68
FL,Surgical Oncology,Travel & Lodging,14451.47
FL,Therapeutic Radiology,Education,75.0
FL,Therapeutic Radiology,Food & Beverage,5246.79
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Consulting,397716.64
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Device / Supply Loan,19818.33
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Education,184395.48
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Food & Beverage,248455.73
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Honoraria,17250.0
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Non-consulting professional services,212799.75
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Other,1730.24
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Royalty / License,214695.69
FL,Thoracic Surgery (Cardiothoracic Vascular Surgery),Travel & Lodging,203919.11000000002
FL,Transplant Hepatology,Consulting,1650.0
FL,Transplant Hepatology,Education,25.0
FL,Transplant Hepatology,Food & Beverage,1614.15
FL,Transplant Hepatology,Honoraria,3000.0
FL,Transplant Hepatology,Non-consulting professional services,10610.0
FL,Transplant Hepatology,Other,4320.0
FL,Transplant Hepatology,Travel & Lodging,2086.87
FL,Transplant Surgery,Consulting,30918.33
FL,Transplant Surgery,Education,19750.0
FL,Transplant Surgery,Food & Beverage,12170.26
FL,Transplant Surgery,Non-consulting professional services,2625.0
FL,Transplant Surgery,Other,34.34
FL,Transplant Surgery,Travel & Lodging,16971.93
FL,Transplantation,Food & Beverage,375.56
FL,Trauma Surgery,Consulting,3050.0
FL,Trauma Surgery,Education,29074.9
FL,Trauma Surgery,Food & Beverage,16970.2
FL,Trauma Surgery,Non-consulting professional services,1550.0
FL,Trauma Surgery,Other,217.13
FL,Trauma Surgery,Travel & Lodging,18574.4
FL,Undersea and Hyperbaric Medicine,Consulting,550.0
FL,Undersea and Hyperbaric Medicine,Food & Beverage,6944.32
FL,Undersea and Hyperbaric Medicine,Non-consulting professional services,96.3
FL,Unknown,Consulting,283046.83999999997
FL,Unknown,Device / Supply Loan,1550465.43
FL,Unknown,Education,670813.37
FL,Unknown,Food & Beverage,5255.18
FL,Unknown,Grant,4652522.13
FL,Unknown,Honoraria,229.6
FL,Unknown,Non-consulting professional services,560051.91
FL,Unknown,Other,3098463.11
FL,Unknown,Royalty / License,245779.37
FL,Unknown,Travel & Lodging,1738.29
FL,Urogynecology and Reconstructive Pelvic Surgery,Consulting,39681.0
FL,Urogynecology and Reconstructive Pelvic Surgery,Education,15162.32
FL,Urogynecology and Reconstructive Pelvic Surgery,Food & Beverage,33737.74
FL,Urogynecology and Reconstructive Pelvic Surgery,Honoraria,498.78999999999996
FL,Urogynecology and Reconstructive Pelvic Surgery,Non-consulting professional services,8933.95
FL,Urogynecology and Reconstructive Pelvic Surgery,Other,369.96000000000004
FL,Urogynecology and Reconstructive Pelvic Surgery,Travel & Lodging,14330.72
FL,Urology,Consulting,921460.89
FL,Urology,Device / Supply Loan,60000.0
FL,Urology,Education,127786.59
FL,Urology,Food & Beverage,622136.2
FL,Urology,Grant,80000.0
FL,Urology,Honoraria,27243.68
FL,Urology,Non-consulting professional services,737922.11
FL,Urology,Other,257.33
FL,Urology,Travel & Lodging,257218.19
FL,Uveitis and Ocular Inflammatory Disease,Food & Beverage,697.41
FL,Vascular & Interventional Radiology,Consulting,317458.62
FL,Vascular & Interventional Radiology,Device / Supply Loan,247988.36000000002
FL,Vascular & Interventional Radiology,Education,728.77
FL,Vascular & Interventional Radiology,Entertainment,1932.49
FL,Vascular & Interventional Radiology,Food & Beverage,221346.87
FL,Vascular & Interventional Radiology,Honoraria,16000.0
FL,Vascular & Interventional Radiology,Non-consulting professional services,664608.11
FL,Vascular & Interventional Radiology,Other,10040.52
FL,Vascular & Interventional Radiology,Travel & Lodging,177494.38
FL,Vascular Neurology,Consulting,7700.0
FL,Vascular Neurology,Food & Beverage,18961.16
FL,Vascular Neurology,Honoraria,1000.0
FL,Vascular Neurology,Non-consulting professional services,34451.75
FL,Vascular Neurology,Travel & Lodging,15821.84
FL,Vascular Surgery,Consulting,136002.31
FL,Vascular Surgery,Device / Supply Loan,113589.77
FL,Vascular Surgery,Education,12058.94
FL,Vascular Surgery,Food & Beverage,333779.17
FL,Vascular Surgery,Honoraria,26325.0
FL,Vascular Surgery,Non-consulting professional services,77611.0
FL,Vascular Surgery,Other,6634.34
FL,Vascular Surgery,Travel & Lodging,159542.35
FL,Vision Therapy,Consulting,490.0
FL,Vision Therapy,Entertainment,23.23
FL,Vision Therapy,Food & Beverage,602.36
FL,Women's Health,Consulting,6000.0
FL,Women's Health,Device / Supply Loan,15000.0
FL,Women's Health,Education,2000.8
FL,Women's Health,Food & Beverage,37237.24
FL,Women's Health,Honoraria,2400.0
FL,Women's Health,Non-consulting professional services,1000.0
FL,Women's Health,Other,70145.1
FL,Women's Health,Travel & Lodging,3185.86
FL,Wound Care,Food & Beverage,101.97999999999999
GA,Acute Care,Consulting,3161.5
GA,Acute Care,Education,1206.3799999999999
GA,Acute Care,Food & Beverage,88970.8
GA,Acute Care,Non-consulting professional services,2000.0
GA,Acute Care,Travel & Lodging,7838.280000000001
GA,Addiction Medicine,Education,5.15
GA,Addiction Medicine,Food & Beverage,3373.26
GA,Addiction Psychiatry,Education,46.91
GA,Addiction Psychiatry,Food & Beverage,5427.77
GA,Adolescent Medicine,Education,132.52
GA,Adolescent Medicine,Food & Beverage,9581.09
GA,Adult Congenital Heart Disease,Food & Beverage,166.76
GA,Adult Health,Consulting,52730.0
GA,Adult Health,Education,3248.42
GA,Adult Health,Food & Beverage,148157.34
GA,Adult Health,Non-consulting professional services,51647.1
GA,Adult Health,Other,2215.53
GA,Adult Health,Travel & Lodging,23608.61
GA,Adult Medicine,Education,101.03
GA,Adult Medicine,Food & Beverage,8551.98
GA,Adult Reconstructive Orthopaedic Surgery,Consulting,79890.83
GA,Adult Reconstructive Orthopaedic Surgery,Education,12500.0
GA,Adult Reconstructive Orthopaedic Surgery,Food & Beverage,13480.84
GA,Adult Reconstructive Orthopaedic Surgery,Honoraria,1500.0
GA,Adult Reconstructive Orthopaedic Surgery,Royalty / License,360559.4
GA,Adult Reconstructive Orthopaedic Surgery,Travel & Lodging,16084.54
GA,Advanced Heart Failure and Transplant Cardiology,Consulting,265370.25
GA,Advanced Heart Failure and Transplant Cardiology,Education,243.51999999999998
GA,Advanced Heart Failure and Transplant Cardiology,Food & Beverage,31614.2
GA,Advanced Heart Failure and Transplant Cardiology,Honoraria,23650.0
GA,Advanced Heart Failure and Transplant Cardiology,Non-consulting professional services,214809.25
GA,Advanced Heart Failure and Transplant Cardiology,Travel & Lodging,49338.69
GA,Advanced Practice Midwife,Consulting,100.0
GA,Advanced Practice Midwife,Education,216.96999999999997
GA,Advanced Practice Midwife,Food & Beverage,28495.96
GA,Advanced Practice Midwife,Other,19656.62
GA,Advanced Practice Midwife,Travel & Lodging,973.0799999999999
GA,Aerospace Medicine,Food & Beverage,62.980000000000004
GA,Allergy,Consulting,114.11
GA,Allergy,Education,95.32000000000001
GA,Allergy,Food & Beverage,9838.38
GA,Allergy & Immunology,Consulting,109299.84
GA,Allergy & Immunology,Education,1849.8600000000001
GA,Allergy & Immunology,Food & Beverage,87466.91
GA,Allergy & Immunology,Grant,10600.0
GA,Allergy & Immunology,Honoraria,23816.0
GA,Allergy & Immunology,Non-consulting professional services,230356.32
GA,Allergy & Immunology,Travel & Lodging,56410.63
GA,Anatomic Pathology,Consulting,20925.0
GA,Anatomic Pathology,Food & Beverage,610.06
GA,Anatomic Pathology,Travel & Lodging,214.25
GA,Anatomic Pathology & Clinical Pathology,Consulting,156110.0
GA,Anatomic Pathology & Clinical Pathology,Food & Beverage,6243.43
GA,Anatomic Pathology & Clinical Pathology,Honoraria,3882.8
GA,Anatomic Pathology & Clinical Pathology,Non-consulting professional services,4500.0
GA,Anatomic Pathology & Clinical Pathology,Travel & Lodging,17074.54
GA,Anesthesiologist Assistant,Consulting,1875.0
GA,Anesthesiologist Assistant,Education,59.42999999999999
GA,Anesthesiologist Assistant,Food & Beverage,22702.89
GA,Anesthesiologist Assistant,Non-consulting professional services,48935.0
GA,Anesthesiologist Assistant,Travel & Lodging,11803.91
GA,Anesthesiology,Consulting,57366.0
GA,Anesthesiology,Education,106.33
GA,Anesthesiology,Food & Beverage,83705.59
GA,Anesthesiology,Grant,17500.0
GA,Anesthesiology,Honoraria,18037.5
GA,Anesthesiology,Non-consulting professional services,34220.54
GA,Anesthesiology,Other,500.0
GA,Anesthesiology,Travel & Lodging,38255.53
GA,Behavioral Neurology & Neuropsychiatry,Food & Beverage,40.53
GA,Blood Banking & Transfusion Medicine,Consulting,76520.5
GA,Blood Banking & Transfusion Medicine,Food & Beverage,779.4699999999999
GA,Blood Banking & Transfusion Medicine,Honoraria,2250.0
GA,Blood Banking & Transfusion Medicine,Travel & Lodging,2409.7799999999997
GA,Body Imaging,Consulting,2500.0
GA,Body Imaging,Food & Beverage,510.2
GA,Brain Injury Medicine,Food & Beverage,129.64000000000001
GA,Cardiovascular Disease,Acquisitions,4267.16
GA,Cardiovascular Disease,Consulting,269353.25
GA,Cardiovascular Disease,Device / Supply Loan,23500.0
GA,Cardiovascular Disease,Education,3480.59
GA,Cardiovascular Disease,Food & Beverage,364210.66
GA,Cardiovascular Disease,Grant,27590.9
GA,Cardiovascular Disease,Honoraria,24240.0
GA,Cardiovascular Disease,Non-consulting professional services,681451.75
GA,Cardiovascular Disease,Other,26600.0
GA,Cardiovascular Disease,Travel & Lodging,185352.27
GA,Child & Adolescent Psychiatry,Consulting,4274.0
GA,Child & Adolescent Psychiatry,Education,168.7
GA,Child & Adolescent Psychiatry,Food & Beverage,27360.31
GA,Child & Adolescent Psychiatry,Non-consulting professional services,66235.0
GA,Child & Adolescent Psychiatry,Travel & Lodging,5546.6
GA,Chiropractor,Food & Beverage,1893.04
GA,Chiropractor,Other,71.5
GA,Chiropractor,Travel & Lodging,331.82
GA,Chronic Care,Consulting,4690.0
GA,Chronic Care,Food & Beverage,8184.55
GA,Clinical & Laboratory Dermatological Immunology,Food & Beverage,162.01
GA,Clinical & Laboratory Immunology,Food & Beverage,304.54
GA,Clinical Biochemical Genetics,Food & Beverage,25.78
GA,Clinical Cardiac Electrophysiology,Consulting,250360.94
GA,Clinical Cardiac Electrophysiology,Education,129.87
GA,Clinical Cardiac Electrophysiology,Food & Beverage,113638.14
GA,Clinical Cardiac Electrophysiology,Grant,18657.53
GA,Clinical Cardiac Electrophysiology,Honoraria,1500.0
GA,Clinical Cardiac Electrophysiology,Non-consulting professional services,112665.0
GA,Clinical Cardiac Electrophysiology,Travel & Lodging,128535.61
GA,Clinical Genetics (M.D.),Consulting,10014.78
GA,Clinical Genetics (M.D.),Food & Beverage,505.3
GA,Clinical Genetics (M.D.),Non-consulting professional services,492.65
GA,Clinical Genetics (M.D.),Travel & Lodging,1028.83
GA,Clinical Neurophysiology,Consulting,2300.0
GA,Clinical Neurophysiology,Education,120.36
GA,Clinical Neurophysiology,Food & Beverage,8413.4
GA,Clinical Neurophysiology,Honoraria,4000.0
GA,Clinical Neurophysiology,Non-consulting professional services,25600.0
GA,Clinical Neurophysiology,Travel & Lodging,3057.6499999999996
GA,Clinical Nurse Specialist,Consulting,14250.0
GA,Clinical Nurse Specialist,Education,4500.88
GA,Clinical Nurse Specialist,Food & Beverage,2410.84
GA,Clinical Nurse Specialist,Travel & Lodging,4396.55
GA,Clinical Pathology,Consulting,23680.0
GA,Clinical Pathology,Food & Beverage,704.75
GA,Clinical Pathology,Travel & Lodging,1647.24
GA,Clinical Pathology/Laboratory Medicine,Consulting,412.76
GA,Clinical Pathology/Laboratory Medicine,Food & Beverage,752.9
GA,Clinical Pathology/Laboratory Medicine,Honoraria,1000.0
GA,Clinical Pathology/Laboratory Medicine,Travel & Lodging,1367.9
GA,Clinical Pharmacology,Food & Beverage,85.46
GA,Colon & Rectal Surgery,Consulting,31930.0
GA,Colon & Rectal Surgery,Education,115202.7
GA,Colon & Rectal Surgery,Food & Beverage,17485.079999999998
GA,Colon & Rectal Surgery,Honoraria,4437.0
GA,Colon & Rectal Surgery,Non-consulting professional services,21500.0
GA,Colon & Rectal Surgery,Other,61.080000000000005
GA,Colon & Rectal Surgery,Royalty / License,139340.85
GA,Colon & Rectal Surgery,Travel & Lodging,15746.95
GA,Community Health,Education,113.42
GA,Community Health,Food & Beverage,2504.11
GA,Contact Lens,Food & Beverage,106.08
GA,Continuing Education/Staff Development,Food & Beverage,140.98
GA,Cornea and External Diseases Specialist,Consulting,10100.0
GA,Cornea and External Diseases Specialist,Food & Beverage,7160.3
GA,Cornea and External Diseases Specialist,Non-consulting professional services,17690.0
GA,Cornea and External Diseases Specialist,Other,6650.0
GA,Cornea and External Diseases Specialist,Travel & Lodging,4547.59
GA,Corneal and Contact Management,Entertainment,193.07
GA,Corneal and Contact Management,Food & Beverage,5759.12
GA,Corneal and Contact Management,Non-consulting professional services,500.0
GA,Corneal and Contact Management,Other,29805.47
GA,Corneal and Contact Management,Travel & Lodging,1071.67
GA,Critical Care Medicine,Consulting,12937.12
GA,Critical Care Medicine,Education,14045.31
GA,Critical Care Medicine,Food & Beverage,40247.07
GA,Critical Care Medicine,Honoraria,11799.0
GA,Critical Care Medicine,Non-consulting professional services,26040.0
GA,Critical Care Medicine,Other,5760.0
GA,Critical Care Medicine,Travel & Lodging,10888.44
GA,Cytopathology,Food & Beverage,566.35
GA,Dental Hygienist,Food & Beverage,15.9
GA,Dental Public Health,Education,246.39999999999998
GA,Dental Public Health,Entertainment,71.16
GA,Dental Public Health,Food & Beverage,1649.8
GA,Dental Public Health,Other,234.47
GA,Dental Public Health,Travel & Lodging,379.56
GA,Dentist,Consulting,62760.0
GA,Dentist,Device / Supply Loan,400.0
GA,Dentist,Education,38243.48
GA,Dentist,Entertainment,2067.46
GA,Dentist,Food & Beverage,112935.69
GA,Dentist,Honoraria,46050.75
GA,Dentist,Non-consulting professional services,782.11
GA,Dentist,Other,37853.23
GA,Dentist,Royalty / License,326783.62
GA,Dentist,Travel & Lodging,45526.08
GA,Dermatology,Consulting,242986.03
GA,Dermatology,Education,8984.72
GA,Dermatology,Food & Beverage,301033.1
GA,Dermatology,Non-consulting professional services,1138840.29
GA,Dermatology,Travel & Lodging,187717.33
GA,Dermatopathology,Education,87.33999999999999
GA,Dermatopathology,Food & Beverage,5102.85
GA,Dermatopathology,Non-consulting professional services,3960.0
GA,Developmental - Behavioral Pediatrics,Food & Beverage,778.11
GA,Diabetes Educator,Food & Beverage,27.67
GA,Diagnostic Radiology,Consulting,26462.0
GA,Diagnostic Radiology,Education,412.85
GA,Diagnostic Radiology,Food & Beverage,43074.21
GA,Diagnostic Radiology,Grant,70000.0
GA,Diagnostic Radiology,Honoraria,9286.15
GA,Diagnostic Radiology,Non-consulting professional services,3297.68
GA,Diagnostic Radiology,Travel & Lodging,32833.33
GA,Emergency Medical Services,Food & Beverage,422.65
GA,Emergency Medicine,Consulting,372352.88
GA,Emergency Medicine,Device / Supply Loan,4800.0
GA,Emergency Medicine,Education,239.15
GA,Emergency Medicine,Food & Beverage,34805.52
GA,Emergency Medicine,Non-consulting professional services,40628.71
GA,Emergency Medicine,Other,66.13
GA,Emergency Medicine,Travel & Lodging,16686.44
GA,"Endocrinology, Diabetes & Metabolism",Consulting,101457.62
GA,"Endocrinology, Diabetes & Metabolism",Device / Supply Loan,229.95000000000002
GA,"Endocrinology, Diabetes & Metabolism",Education,1860.44
GA,"Endocrinology, Diabetes & Metabolism",Food & Beverage,164818.25
GA,"Endocrinology, Diabetes & Metabolism",Honoraria,11675.0
GA,"Endocrinology, Diabetes & Metabolism",Non-consulting professional services,414954.54
GA,"Endocrinology, Diabetes & Metabolism",Other,26771.22
GA,"Endocrinology, Diabetes & Metabolism",Travel & Lodging,47535.45
GA,Endodontics,Education,2517.48
GA,Endodontics,Entertainment,57.18
GA,Endodontics,Food & Beverage,4122.37
GA,Endodontics,Honoraria,400.0
GA,Endodontics,Non-consulting professional services,371.7
GA,Endodontics,Other,7250.53
GA,Endodontics,Royalty / License,1213768.35
GA,Endodontics,Travel & Lodging,6371.38
GA,Epilepsy,Consulting,4554.0
GA,Epilepsy,Food & Beverage,4078.2
GA,Epilepsy,Travel & Lodging,4421.8099999999995
GA,Facial Plastic Surgery,Food & Beverage,1550.01
GA,Family,Consulting,59125.29
GA,Family,Education,21348.85
GA,Family,Entertainment,25.92
GA,Family,Food & Beverage,1358325.43
GA,Family,Grant,47500.0
GA,Family,Honoraria,6775.0
GA,Family,Non-consulting professional services,170213.57
GA,Family,Other,3425.47
GA,Family,Travel & Lodging,102330.1
GA,Family Health,Consulting,762.5
GA,Family Health,Food & Beverage,2448.9700000000003
GA,Family Medicine,Consulting,291528.82
GA,Family Medicine,Device / Supply Loan,13.59
GA,Family Medicine,Education,8836.869999999999
GA,Family Medicine,Entertainment,37.08
GA,Family Medicine,Food & Beverage,879453.85
GA,Family Medicine,Non-consulting professional services,240644.25
GA,Family Medicine,Other,1263.8600000000001
GA,Family Medicine,Travel & Lodging,78675.53
GA,Foot & Ankle Surgery,Consulting,50907.39
GA,Foot & Ankle Surgery,Education,1047.16
GA,Foot & Ankle Surgery,Food & Beverage,49091.35
GA,Foot & Ankle Surgery,Honoraria,50.0
GA,Foot & Ankle Surgery,Non-consulting professional services,1950.0
GA,Foot & Ankle Surgery,Other,93.65
GA,Foot & Ankle Surgery,Royalty / License,99232.23
GA,Foot & Ankle Surgery,Travel & Lodging,29216.96
GA,Foot Surgery,Education,218.0
GA,Foot Surgery,Food & Beverage,1780.24
GA,Foot Surgery,Travel & Lodging,118.52
GA,Foot and Ankle Surgery,Consulting,25642.5
GA,Foot and Ankle Surgery,Food & Beverage,8401.1
GA,Foot and Ankle Surgery,Non-consulting professional services,3400.0
GA,Foot and Ankle Surgery,Royalty / License,64159.42
GA,Foot and Ankle Surgery,Travel & Lodging,16082.57
GA,Forensic Pathology,Food & Beverage,35.84
GA,Forensic Psychiatry,Education,158.36
GA,Forensic Psychiatry,Food & Beverage,2505.67
GA,Gastroenterology,Consulting,191762.5
GA,Gastroenterology,Education,4678.87
GA,Gastroenterology,Food & Beverage,309156.46
GA,Gastroenterology,Honoraria,3000.0
GA,Gastroenterology,Non-consulting professional services,543705.12
GA,Gastroenterology,Other,38935.62
GA,Gastroenterology,Royalty / License,2131.9700000000003
GA,Gastroenterology,Travel & Lodging,97131.27
GA,General Practice,Consulting,208369.95
GA,General Practice,Device / Supply Loan,325.8
GA,General Practice,Education,40484.27
GA,General Practice,Entertainment,6661.92
GA,General Practice,Food & Beverage,212459.55
GA,General Practice,Grant,75596.28
GA,General Practice,Honoraria,137485.18
GA,General Practice,Non-consulting professional services,157390.35
GA,General Practice,Other,114901.57
GA,General Practice,Royalty / License,6667.67
GA,General Practice,Travel & Lodging,105590.47
GA,Geriatric Medicine,Consulting,13917.5
GA,Geriatric Medicine,Education,182.81
GA,Geriatric Medicine,Food & Beverage,12755.34
GA,Geriatric Medicine,Non-consulting professional services,2000.0
GA,Geriatric Medicine,Travel & Lodging,12941.41
GA,Geriatric Psychiatry,Education,79.0
GA,Geriatric Psychiatry,Food & Beverage,717.39
GA,Gerontology,Consulting,9471.66
GA,Gerontology,Education,457.75
GA,Gerontology,Food & Beverage,40576.79
GA,Gerontology,Non-consulting professional services,8712.0
GA,Gerontology,Travel & Lodging,940.33
GA,Glaucoma Specialist,Consulting,21441.6
GA,Glaucoma Specialist,Education,8.45
GA,Glaucoma Specialist,Food & Beverage,8609.73
GA,Glaucoma Specialist,Non-consulting professional services,47175.0
GA,Glaucoma Specialist,Travel & Lodging,4957.3
GA,Gynecologic Oncology,Consulting,800.0
GA,Gynecologic Oncology,Education,65539.62
GA,Gynecologic Oncology,Food & Beverage,17650.86
GA,Gynecologic Oncology,Grant,1170.6
GA,Gynecologic Oncology,Honoraria,3000.0
GA,Gynecologic Oncology,Non-consulting professional services,52100.5
GA,Gynecologic Oncology,Travel & Lodging,15123.22
GA,Gynecology,Consulting,85331.0
GA,Gynecology,Education,14785.54
GA,Gynecology,Food & Beverage,23486.26
GA,Gynecology,Non-consulting professional services,54505.0
GA,Gynecology,Other,69.53
GA,Gynecology,Travel & Lodging,19006.9
GA,Hand Surgery,Consulting,39606.25
GA,Hand Surgery,Education,9679.74
GA,Hand Surgery,Food & Beverage,14002.88
